"String Keys","Title","English","Screenshot","WIP"
"volunteer_portal.admin.tab.dashboard_thisweek_spotsfilled","Text title a percentage of volunteering spots filled this week","Spots Filled","https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL","true"
"volunteer_portal.admin.tab.dashboard_noeventsthismonth","Text when there are no events on this month","No Events This Month","https://drive.google.com/open?id=1Ss1sH1AbMMWEfwuuwW-U59djPHQzRoT3","true"
"volunteer_portal.admin.tab.dashboard_thismonth_events","Text title for a list of events this month","Events","https://drive.google.com/open?id=1ErqgKSMqsVyrsDwj_sorGCG5ofdx4iVp","true"
"volunteer_portal.admin.tab.dashboard_thismonth_volunteers","Text title beginning for a number of volunteers registered this month","Volunteers","https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ","true"
"volunteer_portal.admin.tab.dashboard_thismonth_registered","Text title continuation for a number of volunteers registered this month","registered","https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ","true"
"volunteer_portal.admin.tab.dashboard_thismonth_hours","Text title beginning for a number of hours commited this month","Hours","https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2","true"
"volunteer_portal.admin.tab.dashboard_thismonth_committed","Text title continuation for a number of hours committed this month","committed","https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2","true"
"volunteer_portal.admin.tab.dashboard_thismonth_spotsfilled","Text title a percentage of volunteering spots filled this month","Spots Filled","https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL","true"
"volunteer_portal.admin.tab.events_addevent","Button label to action add an event","Add Event","https://drive.google.com/open?id=1gVgD847rRwXjXfk778mPTol_J12zE3g1","true"
"volunteer_portal.admin.tab.events_editevent","Button label to take you to edit event page","Edit","https://drive.google.com/open?id=1xZksLkPfj56nwISFbw-M1OBcwtq9l4bZ","true"
"volunteer_portal.admin.tab.events_cloneevent","Button label to take you to clone event page","Clone","https://drive.google.com/open?id=1asG_2C-G3PIyik5BYlEQjg7rgUjtPkqj","true"
"volunteer_portal.admin.tab.events_deleteevent","Button label to delete an event","Delete","https://drive.google.com/open?id=1ed0yL5peTPc4dBJmT6fZG-NHewpmLcAD","true"
"volunteer_portal.admin.tab.events_columntitle","Column title for the field Title","Title","","true"
"volunteer_portal.admin.tab.events_columnorganization","Column title for the field Organization","Organization","","true"
"volunteer_portal.admin.tab.events_columnstart","Column title for the field Start as in date and time","Start","","true"
"volunteer_portal.admin.tab.events_columnduration","Column title for the field Duration in minutes of the event","Duration","","true"
"volunteer_portal.admin.tab.events_columnparticipants","Column title for the field Participant for a number of people","Participants","","true"
"volunteer_portal.admin.tab.events_columnactions","Column title for the field Action","Actions","","true"
"volunteer_portal.admin.tab.eventtypes_edit","Text button to edit an event type","Edit","","true"
"volunteer_portal.admin.tab.eventtypes_delete","Text button to delete an event type","Delete","","true"
"volunteer_portal.admin.tab.eventtypes_title","Column title for the field Title","Title","","true"
"volunteer_portal.admin.tab.eventtypes_actions","Column title for the field Actions","Actions","","true"
"volunteer_portal.admin.tab.eventtypes_cancel","Text button to cancel the deletion of an event type","Cancel","","true"
"volunteer_portal.admin.tab.eventtypes_addeventtype","Text button to open a window to Add and new event type","Add Event Type","","true"
"volunteer_portal.admin.tab.eventtypes_deleteeventtype","Title for the confirmation window of Delete Event Type","Delete Event Type","","true"
"volunteer_portal.admin.tab.eventtypes_deleteeventtypeconfirmation","Message for the confirmation window of Delete Event Type","Are you sure you want to delete {{eventtype}}??","","true"
"volunteer_portal.admin.tab.offices_edit","Message for the confirmation window of Delete Event Type","Edit","","true"
"volunteer_portal.admin.tab.offices_delete","","Delete","","true"
"volunteer_portal.admin.tab.offices_name","","Name","","true"
"volunteer_portal.admin.tab.offices_timezone","","Timezone","","true"
"volunteer_portal.admin.tab.offices_actions","","Actions","","true"
"volunteer_portal.admin.tab.offices_delete_cancel","","Cancel","","true"
"volunteer_portal.admin.tab.offices_delete_delete","","Delete","","true"
"volunteer_portal.admin.tab.offices_add_office","","Add Office","","true"
"volunteer_portal.admin.tab.offices_delete_delete_office","","Delete Office","","true"
"volunteer_portal.admin.tab.offices_delete_confirmation","","Are you sure you want to delete {{office}}?","","true"
"volunteer_portal.admin.tab.organizations_edit","","Edit","","true"
"volunteer_portal.admin.tab.organizations_delete","","Delete","","true"
"volunteer_portal.admin.tab.organizations_name","","Name","","true"
"volunteer_portal.admin.tab.organizations_location","","Location","","true"
"volunteer_portal.admin.tab.organizations_actions","","Actions","","true"
"volunteer_portal.admin.tab.organizations_delete_cancel","","Cancel","","true"
"volunteer_portal.admin.tab.organizations_delete_delete","","Delete","","true"
"volunteer_portal.admin.tab.organizations_add_organization","","Add Organization","","true"
"volunteer_portal.admin.tab.organizations_delete_organization","","Delete Organization","","true"
"volunteer_portal.admin.tab.organization.delete_confirmation","","Are you sure you want to delete {{organization}}?","","true"
"volunteer_portal.admin.tab.users_edit","","Edit","","true"
"volunteer_portal.admin.tab.users_delete","","Delete","","true"
"volunteer_portal.admin.tab.users_name","","Name","","true"
"volunteer_portal.admin.tab.users_email","","Email","","true"
"volunteer_portal.admin.tab.users_group","","Group","","true"
"volunteer_portal.admin.tab.users_actions","","Actions","","true"
"volunteer_portal.admin.tab.users_delete_cancel","","Cancel","","true"
"volunteer_portal.admin.tab.users_delete_delete","","Delete","","true"
"volunteer_portal.admin.tab.users_delete_user","","Delete User","","true"
"volunteer_portal.admin.tab.users.delete.confirmation","","Are you sure you want to delete {{user}}?","","true"
"volunteer_portal.admin.tab.individualevent.pendingapproval","","Pending Approval","","true"
"volunteer_portal.admin.tab.individualevent.bulkactions","","Bulk Actions","","true"
"volunteer_portal.admin.tab.individualevent.approve","","Approve","","true"
"volunteer_portal.admin.tab.individualevent.reject","","Reject","","true"
"volunteer_portal.admin.tab.individualevent.apply","","Apply","","true"
"volunteer_portal.admin.tab.individualevent.user","","User","","true"
"volunteer_portal.admin.tab.individualevent.description","","Description","","true"
"volunteer_portal.admin.tab.individualevent.date","","Date","","true"
"volunteer_portal.admin.tab.individualevent.duration","","Duration (min)","","true"
"volunteer_portal.admin.tab.individualevent.organization","","Organization","","true"
"volunteer_portal.admin.tab.individualevent.type","","Type","","true"
"volunteer_portal.admin.tab.tags.label","","Tag","","true"
"volunteer_portal.admin.tab.tags.actions","","Actions","","true"
"volunteer_portal.admin.tab.tags.addtag","","Add Tag","","true"
"volunteer_portal.admin.tab.tags.delete","","Delete","","true"
"volunteer_portal.admin.tab.tags.cancel","","Cancel","","true"
"volunteer_portal.admin.tab.tags.deletetag","","Delete Tag","","true"
"volunteer_portal.admin.tab.tags_delete_confirmation","","Are you sure you want to delete {{tag}}?","","true"
"volunteer_portal.admin.tab.reporting.name","","Name","","true"
"volunteer_portal.admin.tab.reporting.email","","Email","","true"
"volunteer_portal.admin.tab.reporting.office","","Office","","true"
"volunteer_portal.admin.tab.reporting.hours","","Hours","","true"
"volunteer_portal.admin.tab.reporting.exportascsv","","Export as csv","","true"
"volunteer_portal.admin.tab.user.dashboard.topvolunteers","","Top Volunteers","","true"
"volunteer_portal.admin.tab.user.dashboard.networkerror","","Network Error","","true"
