"String Keys","Title","","Screenshot","WIP"
"volunteer_portal.admin.tab.individualevent.date","","","","true"
"volunteer_portal.admin.tab.individualevent.duration","","","","true"
"volunteer_portal.admin.tab.individualevent.organization","","","","true"
"volunteer_portal.admin.tab.individualevent.type","","","","true"
"volunteer_portal.admin.tab.tags.label","","","","true"
"volunteer_portal.admin.tab.tags.actions","","","","true"
"volunteer_portal.admin.tab.tags.addtag","","","","true"
"volunteer_portal.admin.tab.tags.delete","","","","true"
"volunteer_portal.admin.tab.tags.cancel","","","","true"
"volunteer_portal.admin.tab.tags.deletetag","","","","true"
"volunteer_portal.admin.tab.tags_delete_confirmation","","","","true"
"volunteer_portal.admin.tab.reporting.name","","","","true"
"volunteer_portal.admin.tab.reporting.email","","","","true"
"volunteer_portal.admin.tab.reporting.office","","","","true"
"volunteer_portal.admin.tab.reporting.hours","","","","true"
"volunteer_portal.admin.tab.reporting.exportascsv","","","","true"
"volunteer_portal.admin.tab.user.dashboard.topvolunteers","","","","true"
"volunteer_portal.admin.tab.user.dashboard.networkerror","","","","true"
